rowid,p1,model_id
2,2.3053320836189727e-15,2018-09-27--dl--response--segment_1
3,9.086330780363642e-18,2018-09-27--dl--response--segment_1
4,1.2730838504572272e-18,2018-09-27--dl--response--segment_1
6,7.184893964139735e-19,2018-09-27--dl--response--segment_1
7,1.5337460776544225e-15,2018-09-27--dl--response--segment_1
8,2.795440651431804e-16,2018-09-27--dl--response--segment_1
13,4.465508166419113e-22,2018-09-27--dl--response--segment_1
15,3.679832456133565e-16,2018-09-27--dl--response--segment_1
16,1.793183039160408e-20,2018-09-27--dl--response--segment_1
17,1.711109721817266e-14,2018-09-27--dl--response--segment_1
20,1.4653598823350002e-19,2018-09-27--dl--response--segment_1
24,7.508661319230863e-14,2018-09-27--dl--response--segment_1
25,1.7239875790309432e-16,2018-09-27--dl--response--segment_1
27,1.939157103553421e-15,2018-09-27--dl--response--segment_1
28,6.026048460672884e-21,2018-09-27--dl--response--segment_1
34,8.313109581623875e-13,2018-09-27--dl--response--segment_1
35,1.3443486619030052e-13,2018-09-27--dl--response--segment_1
41,1.0440180018904764e-11,2018-09-27--dl--response--segment_1
47,8.954274705501902e-15,2018-09-27--dl--response--segment_1
48,1.0986074628095695e-22,2018-09-27--dl--response--segment_1
53,1.7932815103890204e-12,2018-09-27--dl--response--segment_1
54,1.2455566007532198e-16,2018-09-27--dl--response--segment_1
56,1.129593761261842e-14,2018-09-27--dl--response--segment_1
57,3.081735680526066e-19,2018-09-27--dl--response--segment_1
61,9.68279999070649e-15,2018-09-27--dl--response--segment_1
66,2.4922083616971675e-18,2018-09-27--dl--response--segment_1
67,2.1092404046150906e-15,2018-09-27--dl--response--segment_1
73,9.803056493747859e-17,2018-09-27--dl--response--segment_1
74,1.6381611148092326e-13,2018-09-27--dl--response--segment_1
78,7.446460487331033e-17,2018-09-27--dl--response--segment_1
83,4.2001095093153707e-16,2018-09-27--dl--response--segment_1
84,7.677291216601578e-21,2018-09-27--dl--response--segment_1
85,1.515020767235961e-25,2018-09-27--dl--response--segment_1
87,9.252281076990437e-17,2018-09-27--dl--response--segment_1
88,8.373083049286601e-22,2018-09-27--dl--response--segment_1
90,2.6465746036538764e-14,2018-09-27--dl--response--segment_1
96,1.2268935278263324e-18,2018-09-27--dl--response--segment_1
97,7.568653077652209e-15,2018-09-27--dl--response--segment_1
98,4.453244504973957e-15,2018-09-27--dl--response--segment_1
99,5.20312058806702e-19,2018-09-27--dl--response--segment_1
106,2.516377177126846e-20,2018-09-27--dl--response--segment_1
111,1.452897260044759e-11,2018-09-27--dl--response--segment_1
115,1.4636007766623154e-14,2018-09-27--dl--response--segment_1
116,1.2521933157035564e-12,2018-09-27--dl--response--segment_1
117,1.272798012564656e-15,2018-09-27--dl--response--segment_1
119,3.567300948492583e-14,2018-09-27--dl--response--segment_1
120,2.4251966807306417e-13,2018-09-27--dl--response--segment_1
125,1.1142064780769767e-23,2018-09-27--dl--response--segment_1
128,3.1885861885233896e-28,2018-09-27--dl--response--segment_1
130,7.489128306186381e-17,2018-09-27--dl--response--segment_1
136,2.304575276416822e-21,2018-09-27--dl--response--segment_1
144,1.1898899903151152e-12,2018-09-27--dl--response--segment_1
145,4.451087776031562e-20,2018-09-27--dl--response--segment_1
147,3.3860945445995866e-15,2018-09-27--dl--response--segment_1
148,3.898585191984001e-11,2018-09-27--dl--response--segment_1
150,9.169882455669616e-14,2018-09-27--dl--response--segment_1
151,9.963920376355984e-9,2018-09-27--dl--response--segment_1
152,1.0388654523393092e-16,2018-09-27--dl--response--segment_1
153,1.6706297986206859e-22,2018-09-27--dl--response--segment_1
155,6.4731144930222755e-021,2018-09-27--dl--response--segment_1
157,1.0836519036942238e-15,2018-09-27--dl--response--segment_1
160,7.381999105639157e-13,2018-09-27--dl--response--segment_1
161,1.9189808454767526e-18,2018-09-27--dl--response--segment_1
164,1.9854690355847767e-16,2018-09-27--dl--response--segment_1
165,9.871222864952413e-40,2018-09-27--dl--response--segment_1
167,1.1346234665620594e-18,2018-09-27--dl--response--segment_1
169,3.5078262449948494e-16,2018-09-27--dl--response--segment_1
173,4.592782352605217e-19,2018-09-27--dl--response--segment_1
174,3.7218941455475405e-17,2018-09-27--dl--response--segment_1
175,1.2463909311427803e-15,2018-09-27--dl--response--segment_1
178,1.987181370990361e-12,2018-09-27--dl--response--segment_1
179,5.85134482226759e-22,2018-09-27--dl--response--segment_1
180,1.6572323022709195e-16,2018-09-27--dl--response--segment_1
182,7.970126448475245e-13,2018-09-27--dl--response--segment_1
183,1.6257926311514783e-19,2018-09-27--dl--response--segment_1
185,3.412035005279379e-11,2018-09-27--dl--response--segment_1
188,6.945625751107786e-14,2018-09-27--dl--response--segment_1
192,7.521889952709031e-13,2018-09-27--dl--response--segment_1
194,2.4026149080251674e-14,2018-09-27--dl--response--segment_1
195,1.0036294317189792e-19,2018-09-27--dl--response--segment_1
196,1.3376295496027231e-16,2018-09-27--dl--response--segment_1
197,4.324094556393654e-15,2018-09-27--dl--response--segment_1
200,6.881489570314759e-22,2018-09-27--dl--response--segment_1
201,5.429242731682789e-19,2018-09-27--dl--response--segment_1
204,6.6235049656101174e-018,2018-09-27--dl--response--segment_1
207,5.331128242581944e-17,2018-09-27--dl--response--segment_1
211,9.532251488969109e-15,2018-09-27--dl--response--segment_1
216,8.977983614059611e-15,2018-09-27--dl--response--segment_1
219,1.8001566424030814e-11,2018-09-27--dl--response--segment_1
220,1.3850365303441077e-14,2018-09-27--dl--response--segment_1
221,1.1503083096968924e-13,2018-09-27--dl--response--segment_1
224,2.0622960692594343e-15,2018-09-27--dl--response--segment_1
231,1.3336826700592078e-14,2018-09-27--dl--response--segment_1
235,1.1230032551301809e-15,2018-09-27--dl--response--segment_1
238,4.69855255345398e-13,2018-09-27--dl--response--segment_1
240,2.439506469612975e-18,2018-09-27--dl--response--segment_1
241,1.5501441100049932e-10,2018-09-27--dl--response--segment_1
243,6.158292511437099e-22,2018-09-27--dl--response--segment_1
244,9.520256937627505e-24,2018-09-27--dl--response--segment_1
245,1.7865688830169507e-22,2018-09-27--dl--response--segment_1
248,4.843967727894274e-14,2018-09-27--dl--response--segment_1
253,2.583587696386001e-17,2018-09-27--dl--response--segment_1
254,1.3358478326138236e-14,2018-09-27--dl--response--segment_1
256,5.917793908087495e-14,2018-09-27--dl--response--segment_1
258,8.854350824394579e-25,2018-09-27--dl--response--segment_1
260,4.5939314648636335e-25,2018-09-27--dl--response--segment_1
264,1.5794425911748584e-22,2018-09-27--dl--response--segment_1
267,4.68547947475959e-16,2018-09-27--dl--response--segment_1
268,8.735898951061329e-13,2018-09-27--dl--response--segment_1
271,8.859901835676868e-14,2018-09-27--dl--response--segment_1
272,1.6200237774662722e-20,2018-09-27--dl--response--segment_1
276,3.768120312534032e-12,2018-09-27--dl--response--segment_1
281,1.0850194945334867e-11,2018-09-27--dl--response--segment_1
282,9.432577815527318e-12,2018-09-27--dl--response--segment_1
